Plot No.,Individual No.,Treatment ,C02 Level,Temperature Level,Drought,Specific Petal Area (SPA)(cm2/g),Petal Mass Per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Specific Leaf Area (SLA)(cm2/g),Leaf Mass per Area (LMA)(g/cm2),Leaf Dry Matter Content (g/g),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
P8,I1,C2T0,C2,T0,D0,2108.467967,0.000474278,0.059833333,313.9936709,0.003184778,0.210666667,44,0.00008879
P8,I2,C2T0,C2,T0,D0,994.5596869,0.00100547,0.098269231,408.4161491,0.002448483,0.151886792,42.7,0.00007836
P9,I1,C0T0,C0,T0,D0,1452.959184,0.000688251,0.057647059,663.9605806,0.004062238,0.154417122,42,0.000176429
P9,I2,C0T0,C0,T0,D0,1072.540984,0.000932365,0.106086957,381.138322,0.002623719,0.143648208,27.3,0.00013756
P10,I1,C0T2,C0,T2,D0,1259.407226,0.000795727,0.125476513,345.6398104,0.002893185,0.19009009,18,0.000120926
P10,I1,C0T2,C0,T2,D0,1416.131148,0.000706149,0.127083333,1286.502035,0.004668869,0.138710145,38.33333333,0.000129826
P10,I1,C0T2,C0,T2,D0,1176.184841,0.000872575,0.089961081,459.6060606,0.002175776,0.16779661,30.66666667,0.000111522
P11,I2,C0T0,C0,T0,D0,991.0795455,0.001009001,0.095135135,527.4652778,0.001895859,0.132110092,35,0.00017714
P12,I1,C2T2,C2,T2,D0,717.2322503,0.001394249,0.109342105,330.4852321,0.003025854,0.158,28,0.00014655
P12,I2,C2T2,C2,T2,D0,361.0801964,0.002769468,0.15275,304.5,0.003284072,0.177777778,22.7,0.00013324
P12,I3,C2T2,C2,T2,D0,2003.764172,0.000499061,0.0882,393.2451253,0.002542943,0.156086957,27.7,0.00008988
P12,I4,C2T2,C2,T2,D0,1027.358873,0.001554259,0.116764035,462.240566,0.002163376,0.147222222,25.3,0.00015316
P14,I1,C2T0,C2,T0,D0,2183.237598,0.000458035,0.044534884,1083.124783,0.003174656,0.139894893,34.66666667,0.000122885
